iter	Passed	Remaining
781	173570	48386
782	173778	48160
783	173987	47935
784	174194	47709
785	174433	47492
786	174733	47291
787	174972	47073
788	175220	46858
789	175526	46659
790	175855	46464
791	176087	46245
792	176301	46020
793	176540	45802
794	176774	45583
795	176996	45360
796	177173	45126
797	177359	44895
798	177593	44676
799	177882	44470
800	178162	44262
801	178347	44030
802	178555	43805
803	178743	43574
804	178884	43332
805	179122	43113
806	179390	42902
807	179664	42692
808	179916	42477
809	180163	42260
810	180317	42022
811	180518	41794
812	180721	41568
813	180921	41340
814	181109	41110
815	181330	40888
816	181478	40649
817	181647	40415
818	181861	40191
819	182055	39963
820	182230	39731
821	182398	39497
822	182602	39271
823	182730	39029
824	182931	38803
825	183128	38576
826	183315	38347
827	183488	38116
828	183704	37893
829	183859	37658
830	184034	37427
831	184205	37195
832	184340	36956
833	184589	36740
834	184783	36514
835	184983	36288
836	185157	36058
837	185317	35825
838	185480	35592
839	185648	35361
840	185854	35137
841	186003	34903
842	186158	34670
843	186314	34437
844	186438	34198
845	186579	33963
846	186742	33732
847	186884	33498
848	187003	33259
849	187155	33027
850	187361	32804
851	187533	32576
852	187706	32347
853	187892	32122
854	188058	31893
855	188237	31666
856	188368	31431
857	188507	31198
858	188672	30969
859	188802	30735
860	188921	30499
861	189061	30267
862	189224	30039
863	189386	29810
864	189596	29590
865	189781	29365
866	189997	29146
867	190155	28917
868	190339	28693
869	190514	28467
870	190706	28244
871	190910	28023
872	191056	27794
873	191240	27570
874	191424	27346
875	191580	27118
876	191730	26890
877	191919	26667
878	192088	26442
879	192311	26224
880	192506	26002
881	192713	25782
882	192876	25556
883	193017	25328
884	193175	25101
885	193409	24885
886	193633	24668
887	193848	24449
888	194112	24236
889	194385	24025
890	194587	23804
891	194809	23586
892	195013	23366
893	195259	23151
894	195480	22933
895	195683	22713
896	195877	22492
897	196091	22273
898	196348	22059
899	196530	21836
900	196749	21618
79869
893	145303	179759
894	145422	179544
895	145555	179345
896	145698	179159
897	145819	178945
898	145966	178764
899	146122	178594
900	146276	178421
901	146467	178294
902	146681	178194
903	146866	178058
904	147076	177953
905	147222	177771
906	147397	177624
907	147533	177430
908	147670	177237
909	147808	177045
910	147922	176824
911	148034	176602
912	148161	176397
913	148297	176205
914	148430	176007
915	148619	175877
916	148764	175694
917	148932	175539
918	149083	175363
919	149232	175186
920	149420	175053
921	149599	174910
922	149769	174757
923	149953	174621
924	150130	174476
925	150230	174241
926	150407	174096
927	150608	173979
928	150750	173792
929	150868	173580
930	151008	173392
931	151126	173179
932	151273	172999
933	151442	172845
934	151672	172760
935	151806	172566
936	151942	172374
937	152088	172193
938	152194	171969
939	152348	171797
940	152470	171589
941	152589	171379
942	152734	171198
943	152899	171039
944	153020	170832
945	153159	170645
946	153304	170463
947	153425	170257
948	153542	170045
949	153649	169823
950	153762	169607
951	153871	169387
952	154000	169190
953	154144	169009
954	154278	168817
955	154389	168601
956	154501	168385
957	154610	168167
958	154738	167969
959	154850	167754
960	154928	167503
961	155060	167310
962	155241	167170
963	155374	166979
964	155477	166756
965	155634	166589
966	155774	166406
967	155907	166215
968	156037	166021
969	156161	165821
970	156285	165621
971	156410	165422
972	156523	165209
973	156639	165002
974	156774	164814
975	156876	164591
976	157004	164396
977	157114	164183
978	157243	163989
979	157351	163773
980	157519	163621
981	157690	163471
982	157904	163365
983	158085	163226
984	158277	163098
985	158398	162896
986	158584	162761
987	158726	162581
988	158845	162378
989	159087	162300
990	159269	162162
991	159376	161946
992	159522	161771
993	159678	161606
994	159901	161508
995	160022	161307
996	160137	161100
997	160284	160927
998	160444	160765
999	160608	160608
1000	160713	160392
1001	160882	160240
1002	161029	160066
1003	161150	159866
1004	161273	159668
1005	161390	159464
1006	161528	159282
1007	161708	159141
1008	161914	159026
1009	162100	158891
1010	162212	158682
1011	162358	158507
1012	162523	158352
1013	162725	158232
1014	162853	158040
1015	163010	157876
1016	163146	157691
1017	163316	157541
1018	163463	157367
1019	163600	157184
1020	163827	157088
1021	164022	156960
1022	164125	156745
1023	164299	156597
1024	164475	156451
1025	164656	156311
1026	164822	156156
1027	164996	156008
1028	165171	155861
1029	165343	155711
1030	165443	155494
1031	165613	155343
1032	165796	155203
1033	165925	155013
1034	166108	154874
1035	166281	154725
1036	166478	154598
1037	166635	154434
1038	166818	154295
1039	166938	154097
1040	167075	153915
1041	167244	153761
1042	167388	153586
1043	167529	153407
1044	167730	153285
1045	167904	153136
1046	168056	152968
1047	168201	152793
1048	168378	152648
1049	168526	152476
1050	168671	152302
1051	168863	152169
1052	169056	152038
1053	169218	151879
1054	169341	151685
1055	169493	151516
1056	169666	151367
1057	169801	151184
1058	169949	151012
1059	170126	150866
1060	170298	150716
1061	170452	150550
1062	170594	150373
1063	170741	150201
1064	170874	150016
1065	171021	149844
1066	171141	149648
1067	171308	149493
1068	171549	149403
1069	171699	149234
1070	171831	149049
1071	171951	148853
1072	172132	148711
1073	172241	148506
1074	172373	148321
1075	172475	148111
1076	172634	147949
1077	172803	147796
1078	172900	147582
1079	173051	147414
1080	173147	147199
1081	173310	147041
1082	173494	146901
1083	173717	146794
1084	173871	146628
1085	174037	146473
1086	174195	146311
1087	174375	146167
1088	174511	145986
1089	174681	145834
1090	174821	145658
1091	174960	145480
1092	175069	145277
1093	175297	145173
1094	175518	145063
1095	175651	144880
1096	175801	144711
1097	175953	144544
1098	176104	144376
1099	176272	144223
1100	176436	144065
1101	176561	143877
1102	176722	143717
1103	176919	143587
1104	177123	143462
1105	177329	143338
1106	177520	143202
1107	177772	143116
1108	178023	143028
1109	178161	142850
1110	178324	142691
1111	178493	142538
1112	178720	142430
1113	178982	142350
1114	179119	142171
1115	179233	141973
1116	179362	141788
1117	179504	141612
1118	179665	141452
1119	179791	141264
1120	179909	141070
1121	180009	140863
1122	180148	140686
1123	180302	140520
1124	180446	140347
1125	180609	140188
1126	180703	139977
1127	180845	139802
1128	180966	139612
1129	181076	139413
1130	181187	139214
1131	181308	139024
1132	181469	138865
1133	181625	138701
1134	181732	138500
1135	181841	138302
1136	181942	138097
1137	182043	137892
1138	182188	137721
1139	182323	137542
1140	182445	137353
1141	182567	137165
1142	182724	137003
1143	182862	136827
1144	182946	136610
1145	183091	136439
1146	183237	136269
1147	183395	136109
1148	183473	135888
1149	183607	135710
1150	183711	135509
1151	183860	135341
1152	183998	135166
1153	184151	135002
1154	184316	134846
1155	184448	134666
1156	184556	134469
1157	184707	134303
1158	184807	134100
1159	184953	133932
1160	185108	133769
1161	185260	133604
1162	185409	133437
1163	185514	133238
1164	185640	133055
1165	185780	132882
1166	185933	132718
1167	186081	132551
1168	186198	132361
1169	186302	132163
1170	186420	131974
1171	186529	131780
1172	186606	131563
1173	186697	131356
1174	186821	131172
1175	186950	130992
1176	187079	130812
1177	187174	130608
1178	187282	130414
1179	187374	130209
1180	187483	130016
1181	187622	129843
1182	187706	129633
1183	187799	129429
1184	187861	129204
1185	187970	129012
1186	188055	128802
1187	188156	128605
1188	188285	128426
1189	188382	128226
1190	188477	128025
1191	188589	127835
1192	188700	127645
1193	188837	127473
1194	188978	127303
1195	189098	127119
1196	189296	126988
1197	189422	126808
1198	189539	126622
1199	189654	126436
1200	189763	126245
1201	189877	126058
1202	189974	125860
1203	190134	125703
1204	190254	125520
1205	190437	125379
1206	190624	125240
1207	190770	125074
1208	190922	124912
1209	191045	124732
1210	191179	124558
1211	191302	124378
1212	191386	124172
1213	191553	124020
1214	191695	123852
1215	191814	123670
1216	191925	123482
1217	192063	123311
1218	192131	123096
1219	192248	122912
1220	192340	122713
1221	192467	122536
1222	192587	122355
1223	192681	122157
1224	192856	122011
1225	193073	121891
1226	193177	121700
1227	193334	121542
1228	193455	121362
1229	193603	121199
1230	193817	121077
1231	193989	120928
1232	194107	120746
1233	194254	120582
1234	194394	120414
1235	194566	120266
1236	194734	120114
1237	194921	119975
1238	195041	119795
1239	195217	119649
1240	195400	119507
1241	195584	119366
1242	195692	119178
1243	195859	119027
1244	196058	118895
1245	196239	118751
1246	196386	118588
1247	196555	118437
1248	196701	118272
1249	196809	118085
1250	196900	117888
1295	70882	147891
1296	70913	147787
1297	70962	147720
1298	70999	147629
1299	71017	147497
1300	71044	147386
1301	71073	147278
1302	71096	147157
1303	71146	147093
1304	71177	146990
1305	71213	146898
1306	71257	146822
1307	71302	146747
1308	71340	146659
1309	71383	146581
1310	71420	146491
1311	71466	146420
1312	71515	146353
1313	71585	146330
1314	71618	146231
1315	71634	146099
1316	71644	145954
1317	71665	145832
1318	71696	145729
1319	71743	145661
1320	71777	145565
1321	71825	145499
1322	71847	145377
1323	71896	145313
1324	71956	145270
1325	72017	145229
1326	72065	145162
1327	72103	145075
1328	72115	144935
1329	72181	144905
1330	72216	144813
1331	72241	144699
1332	72288	144631
1333	72313	144518
1334	72356	144441
1335	72369	144304
1336	72387	144180
1337	72410	144062
1338	72448	143976
1339	72498	143914
1340	72530	143816
1341	72551	143697
1342	72574	143581
1343	72631	143533
1344	72669	143448
1345	72709	143366
1346	72761	143307
1347	72802	143227
1348	72848	143158
1349	72879	143059
1350	72951	143040
1351	72994	142965
1352	73032	142880
1353	73063	142780
1354	73112	142717
1355	73140	142613
1356	73193	142556
1357	73202	142416
1358	73218	142288
1359	73237	142166
1360	73260	142054
1361	73320	142010
1362	73409	142025
1363	73492	142028
1364	73529	141941
1365	73546	141817
1366	73572	141709
1367	73597	141599
1368	73619	141485
1369	73631	141351
1370	73690	141308
1371	73723	141213
1372	73733	141076
1373	73771	140993
1374	73853	140992
1375	73890	140906
1376	73909	140786
1377	73940	140690
1378	74019	140684
1379	74080	140645
1380	74105	140538
1381	74128	140425
1382	74179	140366
1383	74214	140278
1384	74247	140185
1385	74278	140089
1386	74325	140023
1387	74393	139996
1388	74469	139985
1389	74493	139876
1390	74546	139821
1391	74566	139705
1392	74594	139604
1393	74656	139566
1394	74669	139435
1395	74683	139309
1396	74698	139185
1397	74711	139055
1398	74734	138944
1399	74755	138832
1400	74792	138747
1401	74858	138717
1402	74871	138589
1403	74901	138492
1404	74934	138402
1405	74950	138279
1406	74968	138162
1407	75019	138103
1408	75097	138095
1409	75143	138030
1410	75218	138016
1411	75252	137927
1412	75287	137840
1413	75330	137768
1414	75357	137666
1415	75380	137557
1416	75427	137493
1417	75474	137429
1418	75530	137381
1419	75618	137390
1420	75653	137305
1421	75733	137301
1422	75783	137240
1423	75847	137207
1424	75897	137147
1425	75930	137057
1426	75976	136992
1427	76017	136917
1428	76058	136841
1429	76083	136736
1430	76097	136613
1431	76149	136559
1432	76201	136503
1433	76234	136413
1434	76250	136294
1435	76278	136197
1436	76311	136106
1437	76346	136021
1438	76376	135928
1439	76436	135886
1440	76490	135836
1441	76532	135762
1442	76554	135654
1443	76568	135532
1444	76586	135417
1445	76633	135354
1446	76655	135246
1447	76679	135141
1448	76700	135033
1449	76728	134935
1450	76771	134866
1451	76802	134775
1452	76855	134722
1453	76877	134614
1454	76920	134545
1455	76965	134478
1456	77006	134404
1457	77051	134338
1458	77104	134285
1459	77150	134221
1460	77173	134116
1461	77196	134011
1462	77239	133942
1463	77293	133890
1464	77341	133829
1465	77369	133734
1466	77417	133673
1467	77476	133631
1468	77538	133593
1469	77569	133504
1470	77588	133393
1471	77600	133271
1472	77611	133145
1473	77624	133025
1474	77653	132932
1475	77704	132877
1476	77762	132832
1477	77790	132738
1478	77804	132620
1479	77833	132527
1480	77875	132457
1481	77921	132393
1482	77955	132308
1483	77989	132224
1484	78047	132181
1485	78064	132069
1486	78106	131997
1487	78146	131924
1488	78160	131807
1489	78181	131701
1490	78208	131606
1491	78247	131531
1492	78300	131480
1493	78319	131371
1494	78372	131319
1495	78418	131256
1496	78446	131163
1497	78500	131113
1498	78537	131035
1499	78575	130958
1500	78615	130885
1501	78636	130781
1502	78651	130667
1503	78664	130549
1504	78680	130437
1505	78695	130322
1506	78722	130229
1507	78758	130150
1508	78786	130057
1509	78826	129985
1510	78884	129942
1511	78933	129885
1512	78951	129777
1513	78971	129671
1514	79033	129636
1515	79085	129583
1516	79117	129497
1517	79149	129412
1518	79219	129389
1519	79241	129288
1520	79286	129224
1521	79370	129224
1522	79411	129154
1523	79448	129077
1524	79485	129001
1525	79500	128888
1526	79530	128801
1527	79549	128695
1528	79626	128682
1529	79693	128655
1530	79723	128568
1531	79797	128551
1532	79840	128484
1533	79875	128405
1534	79941	128375
1535	79974	128293
1536	79992	128185
1537	80005	128071
1538	80017	127955
1539	80038	127853
1540	80059	127752
1541	80089	127664
1542	80110	127563
1543	80158	127506
1544	80182	127410
1545	80204	127310
1546	80230	127217
1547	80293	127183
1548	80329	127106
1549	80362	127023
1550	80436	127008
1551	80469	126925
1552	80510	126856
1553	80578	126830
1554	80640	126795
1555	80693	126745
1556	80737	126679
1557	80784	126621
1558	80869	126621
1559	80890	126521
1560	80934	126457
1561	80977	126391
1562	81030	126341
1563	81079	126285
1564	81094	126175
1565	81148	126126
1566	81192	126063
1567	81233	125995
1568	81281	125936
1569	81313	125854
1570	81365	125803
1571	81412	125743
1572	81443	125660
1573	81483	125589
1574	81538	125544
1575	81581	125478
1576	81632	125425
1577	81648	125318
1578	81665	125213
1579	81682	125109
1580	81717	125031
1581	81774	124987
1582	81815	124920
1583	81855	124850
1584	81943	124853
1585	82001	124811
1586	82047	124751
1587	82088	124683
1588	82113	124591
1589	82213	124613
1590	82227	124503
1591	82237	124389
1592	82272	124312
1593	82335	124278
1594	82366	124195
1595	82418	124144
1596	82447	124057
1597	82472	123966
1598	82489	123863
1599	82517	123776
1600	82599	123770
1601	82658	123729
1602	82691	123650
1603	82753	123614
1604	82780	123526
1605	82796	123421
1606	82810	123313
1607	82833	123220
1608	82924	123227
1609	82972	123169
1610	83027	123124
